Date,avg_hourly_wage,cpi_energy,cpi_food,housing_price_index,black_ur,pce_inflation,total_population,u6,ur,real_personal_income,log(M2)
6/1/2018,0.06,1.482,0.494,-0.146,0.5,-0.04,140.904,0,0.2,50.944,0.001898882
7/1/2018,0.07,0.099,-0.052,-0.345,0.1,0.064,154.25,-0.3,-0.2,72.797,0.001069086
8/1/2018,0.11,-2.779,0.043,-0.461,-0.2,-0.105,162.857,-0.1,0,55.779,0.001580368
9/1/2018,0.1,-10.264,-0.053,-0.424,-0.2,0.019,161.294,0.1,-0.1,-14.861,0.000839907
10/1/2018,0.05,7.413,-0.389,-0.266,0.4,-0.113,158.877,0,0.1,14.328,0.000430014
11/1/2018,0.07,-11.914,0.502,-0.626,-0.4,0.142,139.796,0.1,0,19.639,0.00039609
12/1/2018,0.13,-7.161,0.375,-0.8,0.6,0,120.795,0,0.1,180.375,0.003533544
1/1/2019,0.04,-10.391,0.162,-0.754,0.3,-0.237,108.946,0.4,0.1,42.382,0.002175545
2/1/2019,0.1,-0.35,0.802,-0.554,0.1,-0.177,95.416,-0.8,-0.2,45.658,0.001239577
3/1/2019,0.1,11.133,0.288,-0.323,-0.6,-0.111,98.063,0.2,0,11.298,0.001188229
4/1/2019,-0.02,4.039,-0.878,-0.136,0,0.143,109.453,0,-0.2,-42.509,0.000910668
5/1/2019,0.07,-4.442,0.566,-0.175,-0.4,-0.08,121.772,-0.2,0,1.678,0.002690961
6/1/2019,0.09,-5.855,-0.237,-0.349,-0.3,0.116,130.704,0,0,10.991,0.003619043
7/1/2019,0.09,2.899,-0.204,-0.152,0,0.021,144.049,-0.3,0.1,-1.461,0.002310285
8/1/2019,0.1,-5.358,-0.146,-0.017,-0.4,0.13,170.022,0.3,0,70.524,0.002504523
9/1/2019,0.02,-1.056,0.168,0.131,0,-0.15,168.459,-0.3,-0.2,25.793,0.002467037
10/1/2019,0.08,0.48,0.595,0.094,0.2,0.007,166.041,0.1,0.1,18.983,0.004028334
11/1/2019,0.12,8.01,-0.222,0.399,0,-0.161,146.964,-0.1,0,72.963,0.003008295
12/1/2019,0.02,8.985,-0.509,0.532,0.4,0.08,127.96,-0.1,0,-40.892,0.001958151
1/1/2020,0.06,5.11,0.155,0.641,0.3,0.162,116.115,0.1,-0.1,146.772,0.002326921
2/1/2020,0.13,-6.843,-0.011,0.581,-0.3,0.139,102.577,0.1,0,108.738,0.001610796
3/1/2020,0.23,-17.884,0.374,0.623,0.8,-0.223,105.222,1.8,0.9,-283.471,0.014633457
4/1/2020,1.22,-26.405,3.833,0.137,9.8,-0.875,2114.464,14.1,10.3,2199.95,0.02669137
5/1/2020,-0.3,-1.269,1.271,-0.413,0.2,0.099,-28.432,-1.7,-1.5,-796.098,0.020767893
6/1/2020,-0.35,13.909,1.192,0.091,-1.6,0.148,24.431,-3.2,-2.2,-247.421,0.00715207
7/1/2020,0.05,2.935,-1.135,1.015,-0.8,0.192,55.581,-1.5,-0.8,108.019,0.003562008
8/1/2020,0.07,4.41,0.142,2.125,-1.6,0.222,62.566,-2.2,-1.8,-583.646,0.001946132
9/1/2020,0.03,2.637,-0.353,2.583,-0.7,0.082,62.297,-1.5,-0.5,99.492,0.005098423
10/1/2020,0.02,-3.938,0.041,2.923,-1.2,-0.167,74.425,-0.7,-1,-47.775,0.003761195
11/1/2020,0.12,-0.891,-0.365,2.371,-0.5,-0.039,51.674,-0.1,-0.2,-175.763,0.005403147
12/1/2020,0.27,4.939,0.461,1.926,-0.4,0.112,-0.006,-0.3,0,46.82,0.003560576
1/1/2021,0.01,7.662,-0.299,1.924,-0.8,0.036,-56.539,-0.6,-0.3,1671.193,0.005609139
2/1/2021,0.11,13.3,-0.463,1.957,0.6,-0.022,6.331,0,-0.2,-1424.812,0.005471317
3/1/2021,0.02,22.39,-0.376,3.02,-0.3,0.549,8.097,-0.4,-0.2,3589.074,0.005318106
4/1/2021,0.14,18.27,-2.618,3.546,0.2,1.239,-2.673,-0.4,0,-2938.549,0.005648324
5/1/2021,0.16,4.847,-0.574,4.373,-0.6,0.43,22.027,-0.2,-0.2,-453.867,0.006640407
6/1/2021,0.16,-4.144,0.656,4.418,0.1,0.16,69.701,-0.3,0.1,-47.871,0.000888356
7/1/2021,0.15,-0.297,2.714,2.588,-1,0.032,97.221,-0.6,-0.5,157.963,0.00350805
8/1/2021,0.09,2.782,0.758,0.81,0.5,0.008,103.397,-0.4,-0.2,1.12,0.004890739
9/1/2021,0.16,0.299,2.212,-0.077,-0.9,0.124,102.876,-0.3,-0.5,-230.522,0.002909049
10/1/2021,0.19,9.603,1.772,-0.765,0,0.552,111.808,-0.3,-0.1,-4.73,0.003182728
11/1/2021,0.12,6.323,1.92,-0.088,-1.3,0.571,107.949,-0.5,-0.4,-6.079,0.004213763
12/1/2021,0.15,-4.994,0.521,0.397,0.6,0.249,63.057,-0.4,-0.3,-20.753,0.002949877
1/1/2022,0.18,-3.303,1.891,1.078,-0.2,0.337,20.818,-0.2,0.1,-86.328,0.003527997
2/1/2022,0.04,-0.375,2.531,#VALUE!,-0.3,0.274,67.497,0.1,-0.2,-17.001,0.001653766
