observation_date,cpi_food,treasury_10_2_spread,avg_hourly_wages,cpi_energy,oil_price,pce_inflation,gdp,housing_price_index,total_population,u6,ur,black_ur,public_debt,net_worth_bottom_50,asset_share_bottom_50
4/1/2014,5.191,2.201,24.397,8.380,109.694,1.749,403.707,10.871,2262.143,-1.833,-1.333,11.333,17632606.000,735991.000,5.800
7/1/2014,6.177,1.985,24.533,1.830,101.900,1.754,469.873,8.153,2290.615,-1.700,-1.167,11.333,17824071.000,763778.000,5.700
10/1/2014,7.242,1.739,24.627,-15.264,76.429,1.555,428.475,7.278,2312.459,-1.900,-1.233,10.700,18141444.000,771721.000,5.600
1/1/2015,6.534,1.364,24.783,-47.174,53.977,1.406,626.400,6.851,2301.180,-1.633,-1.133,10.100,18152056.000,822028.000,5.500
4/1/2015,4.188,1.552,24.943,-41.409,61.651,1.344,512.766,7.138,2290.339,-1.467,-0.767,9.900,18151998.000,818141.000,5.500
7/1/2015,3.825,1.531,25.073,-39.535,50.445,1.261,372.464,7.556,2286.809,-1.767,-0.967,9.267,18150618.000,844768.000,5.600
10/1/2015,2.893,1.352,25.237,-34.580,43.557,1.191,321.344,8.439,2273.844,-1.467,-0.667,8.967,18922179.000,955464.000,5.600
1/1/2016,2.135,1.078,25.400,-21.611,33.843,1.426,284.818,8.657,2293.813,-1.300,-0.633,8.667,19264939.000,987436.000,5.500
4/1/2016,1.630,0.979,25.577,-18.786,45.567,1.553,237.706,8.501,2294.161,-0.967,-0.500,8.567,19381591.000,973520.000,5.400
7/1/2016,0.134,0.836,25.727,-15.796,45.801,1.732,287.409,8.718,2275.446,-0.533,-0.200,8.233,19573445.000,1095099.000,5.500
10/1/2016,-0.491,1.129,25.910,3.664,49.052,1.892,349.981,9.118,2226.976,-0.500,-0.267,8.233,19976827.000,1129873.000,5.500
1/1/2017,0.508,1.202,26.073,22.720,53.595,1.925,331.158,9.766,2154.547,-0.700,-0.333,7.767,19846420.000,1162912.000,5.400
4/1/2017,1.903,0.963,26.213,10.334,49.554,1.784,378.221,10.202,2087.380,-1.233,-0.567,7.433,19844554.000,1273634.000,5.500
7/1/2017,2.774,0.879,26.403,13.369,52.099,1.659,401.737,10.702,2017.110,-1.167,-0.567,7.400,20244900.000,1340735.000,5.500
10/1/2017,3.550,0.677,26.560,14.362,61.397,1.820,484.125,11.254,1929.667,-1.333,-0.600,7.267,20492747.000,1381629.000,5.400
1/1/2018,3.598,0.598,26.777,14.049,66.863,2.002,539.639,11.800,1841.734,-1.000,-0.533,7.000,21089643.000,1425432.000,5.400
4/1/2018,3.348,0.444,26.963,20.387,74.534,2.222,593.202,11.929,1767.474,-0.700,-0.433,6.200,21195070.000,1554724.000,5.500
7/1/2018,3.518,0.258,27.207,18.490,75.070,2.230,553.373,10.984,1700.385,-1.000,-0.567,6.300,21516058.000,1607404.000,5.500
10/1/2018,3.568,0.238,27.450,7.804,68.764,2.190,424.596,9.598,1648.055,-0.500,-0.333,6.433,21974096.000,1545667.000,5.600
1/1/2019,4.778,0.168,27.700,-7.854,63.097,1.845,396.933,7.625,1603.063,-0.467,-0.167,6.867,22027880.000,1625048.000,5.400
4/1/2019,4.657,0.211,27.857,-1.423,69.037,1.840,392.524,6.856,1572.424,-0.567,-0.333,6.133,22023283.000,1706715.000,5.400
7/1/2019,4.443,0.112,28.103,-7.832,61.946,1.949,433.054,6.445,1559.187,-0.467,-0.133,5.533,22719402.000,1836496.000,5.600
10/1/2019,4.783,0.201,28.317,-1.507,63.268,1.818,481.029,7.064,1580.683,-0.667,-0.233,5.733,23201380.000,1959008.000,5.500
1/1/2020,4.642,0.284,28.593,1.740,50.275,1.998,118.797,8.788,1602.178,0.033,-0.067,6.367,23223813.000,1855209.000,5.800
4/1/2020,9.966,0.494,29.693,-35.079,29.699,1.136,-1724.323,9.289,3478.789,13.433,9.367,16.200,26477241.000,1965750.000,5.500
7/1/2020,10.026,0.510,29.467,-19.475,42.912,1.635,-551.879,12.505,3162.379,7.533,5.200,13.100,26945391.000,2062338.000,5.400
10/1/2020,9.789,0.715,29.700,-19.133,44.316,1.608,-434.532,20.081,2857.988,5.033,3.167,10.433,27747798.000,2273030.000,5.300
1/1/2021,9.242,1.204,30.010,7.855,61.039,1.874,103.663,26.390,2471.721,3.400,2.400,9.500,28132570.000,2472299.000,5.300
4/1/2021,6.055,1.417,30.360,47.335,68.982,3.812,2110.105,36.990,306.481,-10.633,-7.067,9.333,28529436.000,2960302.000,5.500
7/1/2021,10.258,1.099,30.783,47.845,73.509,4.141,918.119,44.495,435.868,-5.700,-3.733,8.233,28428919.000,3421100.000,5.800
10/1/2021,15.211,1.002,31.240,61.126,79.609,5.242,1038.512,44.023,572.452,-4.200,-2.533,7.133,29617215.000,3731118.000,5.900
1/1/2022,19.980,0.487,31.630,56.383,100.330,6.183,1038.512,30.700,770.257,-3.900,-2.400,6.567,29837345.000,3834167.000,6.000
