Date,avg_hourly_wage,cpi_energy,cpi_food,housing_price_index,black_ur,pce_inflation,total_population,u6,ur,real_personal_income
8/1/2015,0.09,0.001,-0.06,0.13,0.3,0.037,222.359,-0.1,-0.1,32.339
9/1/2015,0.01,-7.244,0.046,0.318,-0.1,0.007,223.286,-0.2,-0.1,43.053
10/1/2015,0.09,2.919,-0.048,0.339,-0.3,-0.078,223.532,-0.2,0,41.097
11/1/2015,0.04,7.543,-0.819,0.347,0.4,0,201.368,0.2,0.1,-1.002
12/1/2015,0.03,5.509,-1.048,0.172,-0.9,-0.028,184.93,-0.1,-0.1,65.374
1/1/2016,0.09,13.702,0.282,0.128,0,0.216,187.916,-0.2,-0.2,11.923
2/1/2016,0.03,-11.929,-0.015,-0.141,0.1,0.061,163.357,-0.1,0.1,9.698
3/1/2016,0.06,3.097,-0.174,-0.138,0.3,-0.008,151.492,0.2,0.1,0.18
4/1/2016,0.08,6.659,0.277,0.014,-0.1,0.089,167.866,0.1,0.1,-21.054
5/1/2016,0.04,-3.513,-0.602,-0.033,-0.6,0.033,176.905,0,-0.3,-3.746
6/1/2016,0.06,1.261,-0.78,-0.028,0.5,0.003,186.595,-0.4,0.1,13.189
7/1/2016,0.06,-3.461,-0.236,0.057,-0.5,0.088,200.702,0.1,-0.1,57.85
8/1/2016,0.03,2.77,-0.489,0.194,-0.2,0.123,208.416,0,0.1,12.852
9/1/2016,0.05,14.804,-0.64,0.182,0.5,-0.012,206.585,0.1,0.1,35.13
10/1/2016,0.11,5.366,-0.236,0.069,0,0.143,207.975,-0.1,-0.1,20.419
11/1/2016,0.03,0.895,0.142,0.119,-0.3,-0.059,184.895,-0.2,-0.2,34.898
12/1/2016,0.03,8.112,0.319,0.196,-0.2,0.071,166.483,-0.2,0,35.298
1/1/2017,0.09,10.764,0.164,0.334,-0.5,0.08,161.381,0,0,47.844
2/1/2017,0.05,7.598,0.336,0.123,0.5,-0.012,130.638,-0.2,-0.1,55.842
3/1/2017,0.03,-7.438,1.052,0.186,-0.2,-0.202,132.615,-0.2,-0.2,57.467
4/1/2017,0.06,-4.053,0.154,0.116,-0.1,0.015,144.642,-0.2,0,10.042
5/1/2017,0.04,-6.388,0.661,0.151,0,-0.05,156.675,-0.1,0,94.456
6/1/2017,0.05,-4.944,-0.037,0.162,-0.8,0.048,165.7,0,-0.1,9.942
7/1/2017,0.09,2.039,0.432,0.148,0.4,-0.112,179.014,0,0,53.675
8/1/2017,0.02,5.73,0.2,0.2,0.4,-0.085,180.427,0.1,0.1,30.008
9/1/2017,0.12,7.802,0.328,0.181,-0.5,0.086,178.836,-0.3,-0.1,32.413
10/1/2017,0,-8.131,0.161,0.189,0.4,0.121,176.35,-0.2,-0.1,54.079
11/1/2017,0.05,4.326,0.251,0.152,-0.1,0.003,157.213,-0.1,0,34.083
12/1/2017,0.11,-2.614,0.489,0.223,-0.8,0.028,137.88,0.1,-0.1,43.027
1/1/2018,0.08,-2.558,0.139,0.012,0.8,0.016,126.527,-0.1,-0.1,37.435
2/1/2018,0.02,4.745,-0.583,0.42,-0.7,0.06,105.631,0.1,0.1,29.092
3/1/2018,0.1,-1.851,-0.338,0.164,-0.1,0.319,108.279,-0.2,-0.1,34.441
4/1/2018,0.04,0.917,0.243,0.035,-0.4,-0.07,119.675,0,0,10.724
5/1/2018,0.08,6.869,-0.356,-0.16,-0.4,0.105,131.974,-0.1,-0.2,35.63
6/1/2018,0.06,1.482,0.494,-0.146,0.5,-0.04,140.904,0,0.2,50.944
7/1/2018,0.07,0.099,-0.052,-0.345,0.1,0.064,154.25,-0.3,-0.2,72.797
8/1/2018,0.11,-2.779,0.043,-0.461,-0.2,-0.105,162.857,-0.1,0,55.779
9/1/2018,0.1,-10.264,-0.053,-0.424,-0.2,0.019,161.294,0.1,-0.1,-14.861
10/1/2018,0.05,7.413,-0.389,-0.266,0.4,-0.113,158.877,0,0.1,14.328
11/1/2018,0.07,-11.914,0.502,-0.626,-0.4,0.142,139.796,0.1,0,19.639
12/1/2018,0.13,-7.161,0.375,-0.8,0.6,0,120.795,0,0.1,180.375
1/1/2019,0.04,-10.391,0.162,-0.754,0.3,-0.237,108.946,0.4,0.1,42.382
2/1/2019,0.1,-0.35,0.802,-0.554,0.1,-0.177,95.416,-0.8,-0.2,45.658
3/1/2019,0.1,11.133,0.288,-0.323,-0.6,-0.111,98.063,0.2,0,11.298
4/1/2019,-0.02,4.039,-0.878,-0.136,0,0.143,109.453,0,-0.2,-42.509
5/1/2019,0.07,-4.442,0.566,-0.175,-0.4,-0.08,121.772,-0.2,0,1.678
6/1/2019,0.09,-5.855,-0.237,-0.349,-0.3,0.116,130.704,0,0,10.991
7/1/2019,0.09,2.899,-0.204,-0.152,0,0.021,144.049,-0.3,0.1,-1.461
8/1/2019,0.1,-5.358,-0.146,-0.017,-0.4,0.13,170.022,0.3,0,70.524
9/1/2019,0.02,-1.056,0.168,0.131,0,-0.15,168.459,-0.3,-0.2,25.793
10/1/2019,0.08,0.48,0.595,0.094,0.2,0.007,166.041,0.1,0.1,18.983
11/1/2019,0.12,8.01,-0.222,0.399,0,-0.161,146.964,-0.1,0,72.963
12/1/2019,0.02,8.985,-0.509,0.532,0.4,0.08,127.96,-0.1,0,-40.892
1/1/2020,0.06,5.11,0.155,0.641,0.3,0.162,116.115,0.1,-0.1,146.772
2/1/2020,0.13,-6.843,-0.011,0.581,-0.3,0.139,102.577,0.1,0,108.738
3/1/2020,0.23,-17.884,0.374,0.623,0.8,-0.223,105.222,1.8,0.9,-283.471
4/1/2020,1.22,-26.405,3.833,0.137,9.8,-0.875,2114.464,14.1,10.3,2199.95
5/1/2020,-0.3,-1.269,1.271,-0.413,0.2,0.099,-28.432,-1.7,-1.5,-796.098
6/1/2020,-0.35,13.909,1.192,0.091,-1.6,0.148,24.431,-3.2,-2.2,-247.421
7/1/2020,0.05,2.935,-1.135,1.015,-0.8,0.192,55.581,-1.5,-0.8,108.019
8/1/2020,0.07,4.41,0.142,2.125,-1.6,0.222,62.566,-2.2,-1.8,-583.646
9/1/2020,0.03,2.637,-0.353,2.583,-0.7,0.082,62.297,-1.5,-0.5,99.492
10/1/2020,0.02,-3.938,0.041,2.923,-1.2,-0.167,74.425,-0.7,-1,-47.775
11/1/2020,0.12,-0.891,-0.365,2.371,-0.5,-0.039,51.674,-0.1,-0.2,-175.763
12/1/2020,0.27,4.939,0.461,1.926,-0.4,0.112,-0.006,-0.3,0,46.82
1/1/2021,0.01,7.662,-0.299,1.924,-0.8,0.036,-56.539,-0.6,-0.3,1671.193
2/1/2021,0.11,13.3,-0.463,1.957,0.6,-0.022,6.331,0,-0.2,-1424.812
3/1/2021,0.02,22.39,-0.376,3.02,-0.3,0.549,8.097,-0.4,-0.2,3589.074
4/1/2021,0.14,18.27,-2.618,3.546,0.2,1.239,-2.673,-0.4,0,-2938.549
5/1/2021,0.16,4.847,-0.574,4.373,-0.6,0.43,22.027,-0.2,-0.2,-453.867
6/1/2021,0.16,-4.144,0.656,4.418,0.1,0.16,69.701,-0.3,0.1,-47.871
7/1/2021,0.15,-0.297,2.714,2.588,-1,0.032,97.221,-0.6,-0.5,157.963
8/1/2021,0.09,2.782,0.758,0.81,0.5,0.008,103.397,-0.4,-0.2,1.12
9/1/2021,0.16,0.299,2.212,-0.077,-0.9,0.124,102.876,-0.3,-0.5,-230.522
10/1/2021,0.19,9.603,1.772,-0.765,0,0.552,111.808,-0.3,-0.1,-4.73
11/1/2021,0.12,6.323,1.92,-0.088,-1.3,0.571,107.949,-0.5,-0.4,-6.079
12/1/2021,0.15,-4.994,0.521,0.397,0.6,0.249,63.057,-0.4,-0.3,-20.753
1/1/2022,0.18,-3.303,1.891,1.078,-0.2,0.337,20.818,-0.2,0.1,-86.328
2/1/2022,0.04,-0.375,2.531,#VALUE!,-0.3,0.274,67.497,0.1,-0.2,-17.001
