"date","avg_hourly_wages","cpi_energy","cpi_food","housing_price_index","black_ur","pce_inflation","total_population","u6","ur","real_gdp","public_debt"
"7/1/2017",26.35,6.948,2.531,10.508,7.3,1.687,325206.03,8.5,4.3,18126.226,20244900
"8/1/2017",26.37,12.678,2.731,10.708,7.7,1.602,325386.457,8.6,4.4,NA,NA
"9/1/2017",26.49,20.48,3.059,10.889,7.2,1.688,325565.293,8.3,4.3,NA,NA
"10/1/2017",26.49,12.349,3.22,11.078,7.6,1.809,325741.643,8.1,4.2,18296.685,20492747
"11/1/2017",26.54,16.675,3.471,11.23,7.5,1.812,325898.856,8,4.2,NA,NA
"12/1/2017",26.65,14.061,3.96,11.453,6.7,1.84,326036.736,8.1,4.1,NA,NA
"1/1/2018",26.73,11.503,4.099,11.465,7.5,1.856,326163.263,8,4,18436.262,21089643
"2/1/2018",26.75,16.248,3.516,11.885,6.8,1.916,326268.894,8.1,4.1,NA,NA
"3/1/2018",26.85,14.397,3.178,12.049,6.7,2.235,326377.173,7.9,4,NA,NA
"4/1/2018",26.89,15.314,3.421,12.084,6.3,2.165,326496.848,7.9,4,18590.004,21195070
"5/1/2018",26.97,22.183,3.065,11.924,5.9,2.27,326628.822,7.8,3.8,NA,NA
"6/1/2018",27.03,23.665,3.559,11.778,6.4,2.23,326769.726,7.8,4,NA,NA
"7/1/2018",27.1,23.764,3.507,11.433,6.5,2.294,326923.976,7.5,3.8,18679.599,21516058
"8/1/2018",27.21,20.985,3.55,10.972,6.3,2.189,327086.833,7.4,3.8,NA,NA
"9/1/2018",27.31,10.721,3.497,10.548,6.1,2.208,327248.127,7.5,3.7,NA,NA
"10/1/2018",27.36,18.134,3.108,10.282,6.5,2.095,327407.004,7.5,3.8,18721.281,21974096
"11/1/2018",27.43,6.22,3.61,9.656,6.1,2.237,327546.8,7.6,3.8,NA,NA
"12/1/2018",27.56,-0.941,3.985,8.856,6.7,2.237,327667.595,7.6,3.9,NA,NA
"1/1/2019",27.6,-11.332,4.147,8.102,7,2,327776.541,8,4,18833.195,22027880
"2/1/2019",27.7,-11.682,4.949,7.548,7.1,1.823,327871.957,7.2,3.8,NA,NA
"3/1/2019",27.8,-0.549,5.237,7.225,6.5,1.712,327970.02,7.4,3.8,NA,NA
"4/1/2019",27.78,3.49,4.359,7.089,6.5,1.855,328079.473,7.4,3.6,18982.528,22023283
"5/1/2019",27.85,-0.952,4.925,6.914,6.1,1.775,328201.245,7.2,3.6,NA,NA
"6/1/2019",27.94,-6.807,4.688,6.565,5.8,1.891,328331.949,7.2,3.6,NA,NA
"7/1/2019",28.03,-3.908,4.484,6.413,5.8,1.912,328475.998,6.9,3.7,19112.653,22719402
"8/1/2019",28.13,-9.266,4.338,6.396,5.4,2.042,328646.02,7.2,3.7,NA,NA
"9/1/2019",28.15,-10.322,4.506,6.527,5.4,1.892,328814.479,6.9,3.5,NA,NA
